Authors	Title	Year	Abstract	Author Keywords	Page start	Page end	Page count	Source	!	D	I1	I2	I3a	I3b	I3c	I3d	I3e
B. G. Silverman; M. Johns; R. Weaver	Satisfying the perceived need for free-play in pedagogically oriented interactive dramas	2003	This research explores ways of harnessing people's passion for entertainment in order to stimulate players to attain the meta-learning skills they need for lifelong learning and to reach the highest level of learning, that of learning by teaching. More specifically to keep up with today's pace of training and the goal for it to be just-in-time, we are interested in creating a game generator to empower grass roots experts to share their stories in such a way that others learn the lessons by engagement and empathy with the storyworld characters. Doing so requires us to address the fundamental issue that caused the entertainment and educational gaming communities to split: that it is not easy to create something fun while constrained by rigid pedagogical goals. We examine a case study of the attempts of one cross-disciplinary team to overcome aesthetic silos, and propose a critical systems methodology and generator that harness the core mechanics that make gaming fun, while providing an accessible means for educators to create content to deliver the educational payload.		161	167	6	IEEE			X						
Ladouceur R.; Sévigny S.; Blaszczynski A.; O'Connor K.; Lavoie M.E.	Video lottery: Winning expectancies and arousal	2003	Aims: This study investigates the effects of video lottery players' expectancies of winning on physiological and subjective arousal. Design: Participants were assigned randomly to one of two experimental conditions: high and low winning expectancies. Setting: Participants played 100 video lottery games in a laboratory setting while physiological measures were recorded. Level of risk-taking was controlled. Participants: Participants were 34 occasional or regular video lottery players. They were assigned randomly into two groups of 17, with nine men and eight women in each group. Intervention: The low-expectancy group played for fun, therefore expecting to win worthless credits, while the high-expectancy group played for real money. Measurements: Players' experience, demographic variables and subjective arousal were assessed. Severity of problem gambling was measured with the South Oaks Gambling Screen. In order to measure arousal, the average heart rate was recorded across eight periods. Findings: Participants exposed to high as compared to low expectations experienced faster heart rate prior to and during the gambling session. According to self-reports, it is the expectancy of winning money that is exciting, not playing the game. Conclusions: Regardless of the level of risk-taking, expectancy of winning is a cognitive factor influencing levels of arousal. When playing for fun, gambling becomes significantly less stimulating than when playing for money.	Arousal; Expectancy; Gambling; Video lottery	733	738	5	Scopus			X	?	O	O	O		
Stephen Boyd Davis	Constructing a Player-Centred Definition of Fun for Video Games Design	2004						SB1			O	O	O	O	O	O	O
Klante P.; Krösche J.; Ratt D.; Boll S.	First-year students' paper chase - A mobile location-aware multimedia game	2004	The latest achievements in the field of mobile networks and ubiquitous computing enable the integration and combination of technologies like Internet, Java, and multimedia in a new kind of application that employs distribution, wireless networking, localisation, and movement - mobile location-aware multimedia games. The approach presented is an innovative re-invention of a paper chase/scavenger hunt as a mobile location-aware game. The video demonstration illustrates the technical foundation and the system design of the mobile game. We also show the fun and the action of the game following some students when they play the game on our university campus.	And graphical user interface; Auditory; Geo-referenced multimedia; Location-aware mobile games; Physical navigation	934	935	1	Scopus			?	?	O	O	X		
Lee J.; Luchini K.; Michael B.; Norris C.; Soloway E.	More than just fun and games: Assessing the value of educational video games in the classroom	2004	The objective of this preliminary study is to investigate whether educational video games can be integrated into a classroom with positive effects for the teacher and students. The challenges faced when introducing a video game into a classroom are twofold: overcoming the notion that a "toy" does not belong in the school and developing software that has real educational value while stimulating the learner. We conducted an initial pilot study with 39 second grade students using our mathematic drill software Skills Arena. Early data from the pilot suggests that not only do teachers and students enjoy using Skills Arena, students have exceeded our expectations by doing three times more math problems in 19 days than they would have using traditional worksheets. Based on this encouraging qualitative study, future work that focuses on quantitative benefits should likely uncover additional positive results. © 2004 ACM.	Education; Gameboy; Handhelds; Learner-Centered Design	1375	1378	3	Scopus			?	?	O	O	X		
Millard N.J.; Buckley P.K.; Skinner F.; Venousiou R.	A home page is where the heart is: Using games based design techniques to enhance contact centre interfaces	2004	The demands for interface design for a time pressured and volatile environment such as a contact centre are not purely around usability and efficiency. Customer Service Representatives require interfaces that provide them with knowledge about the customer, products and services and company procedures in a way that is fast, easy to digest and easy to use. However, usability and efficiency have proved to be insufficient for such tools to be used in an operational environment. This study shows how the redesign of a knowledge system for a contact centre using designs inspired by computer games can be used to address issues of usage and acceptance. Two new designs were produced; one for use whilst online with the customer, emphasising the need for efficiency, speed and usability of knowledge access and another for use whilst offline which was more about having fun, knowledge sharing, personalisation and exploring the knowledge space. © IFIP International Federation for Information Processing 2004.		393	397	4	Scopus			?	?	O	O	X		
Hintze J.; Masuch M.	Designing a 3D authoring tool for children	2004	When designing their own interactive 3D worlds and computer games, children can not only engage in a fun and playful activity that has meaning to them, but will be able to strengthen their creative power as well as their analytical and problem solving skills. However, this requires tools that are designed carefully to foster these processes and to be fun to use at the same time. We present work in progress on designing a 3D authoring tool for children to create interactive 3D worlds. In the design process, emphasis was placed on fostering the user's creative process as well as on conveying mathematical and structural principles and ways of thinking through the tool's structure. In the design process of a 3D authoring tool, these two goals often stand in contradiction to each other. In this paper, we discuss selected problems that are characteristic to the design of this authoring tool and present our solutions to these problems as well as the resulting preliminary prototype system JiVE.		78	85	7	Scopus			X	?	O	O	O		
Sellar T.	User experience in interactive computer game development	2004	This paper outlines PhD research into user experience in interactive computer game development The study will investigate how usability methods and approaches can be adapted and extended to evaluate and improve the user experience of gaming systems. The research will focus on exploring ways to evaluate fun and engaging user experiences, and on identifying how to provide useful, valid, timely, cost-efficient feedback on user experience to game development teams. A range of research methods is proposed including case studies with industry stakeholders, contextual and lab-based user experience evaluations with gamers, and action research within a games company. Research findings will inform the development of a practical evaluation model and tools to support game experience design practices and product development. © Springer-Verlag Berlin Heidelberg 2004.	Interactive computer game development; Usability methods; User experience	675	681	6	Scopus			X1	O	O	O	O		
Feijs L.; Peters P.; Eggen B.	Size variation and flow experience of physical game support objects	2004	This paper is about designing and evaluating an innovative type of computer game. Game support objects are used to enrich the gaming experience [7]. The added objects are active but are simpler than real robots. In the study reported here they are four helper ghosts connected to a traditional Pacman game. In earlier projects we already found that children consider such type of additions attractive. We also found that the computer screen tends to draw the user's attention away from the support objects; therefore, the new set-up described here was designed to facilitate simultaneous screen and object-based interactions. The object interaction is essential for playing the game and not just an add-on. In order to develop a better understanding of this type of interaction and thus create future games more systematically, we did a formal user test in which we systematically varied one parameter. Three different versions of the system have been built and tested; they differ in the size of the ghosts (42cm, 15cm, 6cm high). We report on the playability of the new game, the embodiment of the interaction, the degree of flow that could be achieved and the effect of the size of the game support objects on both flow and scores. The lessons learned include a number of insights regarding the design of physical game extensions. The most important finding is that the size of the objects is relevant with respect to fun. No significant effects of size on flow were found. Visibility and distances are critical, however. Observations and interviews indicate that certain ergonomic aspects of the interaction, which are a consequence of the size parameter variation, are really decisive, not the perception of size as such. © IFIP International Federation for Information Processing 2004.		283	295	12	Scopus			X1	O	O	O	O		
J. Hintze; M. Masuch	Designing a 3D authoring tool for children	2004	When designing their own interactive 3D worlds and computer games, children can not only engage in a fun and playful activity that has meaning to them, but will be able to strengthen their creative power as well as their analytical and problem solving skills. However, this requires tools that are designed carefully to foster these processes and to be fun to use at the same time. We present work in progress on designing a 3D authoring tool for children to create interactive 3D worlds. In the design process, emphasis was placed on fostering the user's creative process as well as on conveying mathematical and structural principles and ways of thinking through the tool's structure. In the design process of a 3D authoring tool, these two goals often stand in contradiction to each other. We discuss selected problems that are characteristic to the design of this authoring tool and present our solutions to these problems as well as the resulting preliminary prototype system JiVE.		78	85	7	IEEE		X							
G. Schwabe; C. Goth; D. Frohberg	Does team size matter in mobile learning?	2005	Most mobile learning applications support individual users, although experience with similar conventional learning games indicates that teams may be more appropriate. This paper reports on tests of the MobileGame to see whether individual users, teams of two, teams of three or teams of four are more successful. The test was conducted with over 100 natural users. The significantly increased activity level and team-building show that a preference for teams of two rather than individual players would be justified. There is little significant evidence to prefer teams of two to teams of three. However, the data shows that teams of four are suboptimal: this team size decreases fun and immersion as well as (maybe) learning. There is no evidence that these negative effects are balanced by improved team-building. The relatively high success of teams of two leads to a need for more research on dyadic users not only for mobile learning games, but also for other areas such as tourism, health, museum visitors, and entertainment.		227	234	7	IEEE			O	O	O	O	O	O	O
Adam Overholtzer C.; Levy S.D.	Adding smart opponents to a first-person shooter video game through evolutionary design	2005	We demonstrate how a first-person shooter (FPS) video game can be made more fun and challenging by replacing the hard-wired behavior of opponents with behaviors evolved via an evolutionary algorithm. Using the opensource FPS game Cube as a platform, we replaced the agents' (opponents) hard-wired behavior with binary "DNA" supporting a much richer variety of agent responses. Survival-of-the-fittest ensured that only those agents whose DNA allowed them to avoid being killed by the human player would continue on to the next "generation" (game). Mutating the DNA of the survivors provided enough variability in behavior to make the agent's actions unpredictable. Our demo will show how this approach produces an increasingly challenging level of play, more fine-tuned to the skills of an individual human player than the traditional approach using pre-programmed levels of difficulty or simply adding more opponents. Copyright © 2005, American Association for Artificial Intelligence (www.aaai.org). All rights reserved.		155	156	1	Scopus			?	?	O	O	X		
Claypool K.; Claypool M.	Teaching software engineering through game design	2005	Many projects currently used in Software Engineering curricula lack both the "fun factor" needed to engage students, as well as the practical realism of engineering projects that include other computer science disciplines such as Software Engineering, Networks, or Human Computer Interaction. This paper reports on our endeavor to enhance interest and retention in an existing Software Engineering curriculum through the use of computer game-based projects. Specifically, a set of game-centric, project-based modules have been developed that enable students to: (1) actively participate in the different phases of the software lifecycle taking a single project from requirement elicitation to testing and maintenance; (2) expose students to real issues in project and team management over the course of a 2-semester project; and at the same time (3) introduce students to the different aspects of computer game design. Preliminary results suggest the merits of our approach, showing improved class participation and performance. Copyright 2005 ACM.	Computer Games; Game Design; Game Engineering; Software Engineering	123	127	4	Scopus			?	?	O	O	X		
Denis G.; Jouvelot P.	Motivation-driven educational game design: Applying best practices to music education	2005	Building upon research on motivation theory, we provide insights on how video games can be framed as expert tools that naturally reconcile learning and fun, a worthy goal since students are forced to where players volunteer, namely learning. Our main contribution is to suggest best practices rooted in psychology and motivation theory that we believe should be used when designing educational games.As a case study, we illustrate this approach by looking at the design of our ongoing Cha-Luva Swing Festival project, a video game dedicated to music education. Its overall pedagogical goal is to spur the players' curiosity and creativity by enabling them to easily play music using gamepads as musical instruments. This example perfectly illustrates our results, since motivational lapses due to instrumental limitations often lead to resignation and surrender.	educational games; fun; learning; motivation; music	462	465	3	Scopus			?	?	O	O	X		
Waxberg S.L.; Schwaitzberg S.D.; Cao C.G.L.	Effects of videogame experience on laparoscopic skill acquisition	2005	The apprenticeship model used to teach surgical residents is no longer adequate, especially in laparoscopic surgery training. The other alternatives available, such as simulators or animal models, can be expensive and difficult to implement. This study was conducted to explore the effect of videogame experience on surgical skill acquisition. We hypothesized that a week of videogame playing would improve performance on a surgical skills trainer and that performance on the videogame would reflect performance on the trainer. Thirty participants were tested in a between-subjects mixed design. Results were inconclusive. However, the use of videogames for training may be justified given the minimal cost. The idea of training surgeons using an inexpensive technology that is familiar, and that is fun and engaging at the same time, has considerable potential for the field of training in surgery.		1047	1051	4	Scopus			?	?	O	O	X		
	Soft approach to the hard sell: Challenge posed by marketing-literate consumers	2005	Purpose - To provide a concise briefing on the most topical issues and relevant implications from the top 400 management publications in the world. Design/methodology/approach - This briefing is prepared by an independent writer who adds their own impartial comments and places the argument in context. Findings - Stephen Brown reports on how marketers are constantly thinking of new ways to keep one step ahead of customers who have become wise to, and increasingly wary and cynical of, the advertiser's message. His entertaining article pokes fun at the marketing business to underline a serious and well-constructed message that new approaches have to be adopted to attract marketing-literate consumers. Typical quote: "The ultimate aim is to get marketing-savvy consumers talking about the savvy marketing campaign and the marketing-savvy talking about being talked about by marketing-savvy media". Andy Cohen describes how the senior vice-president of strategic marketing and new media for Samsung Electronics America oversees more than 150 product launches every year and more than 40 new online marketing campaigns each month - and how he uses the internet to "superaccelerate" the company's marketing plans. A perceptive insight into a workaholic boss's vision for delivering a constant stream of information about what the company has on offer. Andrew and Jack Kaikati take a similar theme to Stephen Brown, chronicling the sometimes-bizarre methods marketers are using to replace more traditional forms of advertising that are losing their effectiveness among consumers. Methods such as paying actors to go into trendy bars, music stores or tourist hot-spots and convince total strangers that their cell phone CD or video game is a "must have" product. This enjoyable essay considers the pros and cons of such "advertising by stealth" and touches on the ethical, and possibly legal, pitfalls such an increasingly popular phenomenon might hold in store for the future. Originality/value - Provides implementable strategies and practical thinking that has influenced some of the world's leading organizations. © Emerald Group Publishing Limited.	Advertising effectiveness; Consumer behaviour; Internet; Marketing strategy	12	15	3	Scopus			?	?	O	O	X		
J. N. Amaral; P. Berube; P. Mehta	Teaching digital design to computing science students in a single academic term	2005	How should digital design be taught to computing science students in a single one-semester course? This work advocates the use of state-of-the-art design tools and programmable devices and presents a series of laboratory exercises to help students learn digital logic. Each exercise introduces new concepts and produces the complete design of a stand-alone apparatus that is fun and interesting to use. These exercises lead to the most challenging capstone designs for a single-semester course of which the authors are aware. Fast progress is made possible by providing students with predesigned input/output modules. Student feedback demonstrates that the students approve of this methodology. An extensive set of slides, supporting teaching material, and laboratory exercises are freely available for downloading.	Digital logic design;digital systems;field-programmable gate arrays (FPGAs);teaching laboratory	127	132	5	IEEE			X						
Appelman R.L.	Experiential modes: A common ground for serious game designers	2005	Game designers are skilled in creating environments that are run-filled and instructional designers are skilled in creating environments that foster learning. Today's demand requires that they work together to make games that are immersive learning environments, and experiential modes (EM) are what both designers create to achieve their goals. This paper posits that any learning environment is a sequence of EMs as defined from the viewpoint of the learner, and that the starting point for designers to begin working together is at the common ground of Experiential Modes. By understanding the characteristics of games and simulations, specific EM's can be defined that will allow these learning environments to be both fun and learning. Copyright © 2005 Inderscience Enterprises Ltd. game and simulation development; instructional.	Characteristics of games and simulations; Design; Experiential modes; Learning environments	240	251	11	Scopus			X	?	O	O	O		
Hsu S.H.; Lee F.-L.; Wu M.-C.	Designing action games for appealing to buyers	2005	This study aims to identify design features for action games that would appeal to game-buyers, rather than game-players. Sixteen frequent-buyers of computer games identified 39 design features that appeal to buyers by contrasting different versions of Pacman games. Twenty-eight versions of Pacman were then evaluated in terms of the identified design features by 45 participants (27 male and 18 female college students). Qnet2000 neural network software was used to determine the relative importance of these design features. The results indicated that the top 10 most important design features could account for more than 50% of "perceived fun" among these 39 design features. The feature of avatar is important to game-buyers, yet not revealed in previous player-oriented studies. Moreover, six design factors underlying the 39 features were identified through factor analysis. These factors included "novelty and powerfulness," "appealing presentation," "interactivity," "challenging," "sense of control," and "rewarding," and could account for 54% of total variance. Among these six factors, appealing presentation has not been emphasized by player-oriented research. Implications of the findings were discussed. © Mary Ann Liebert, Inc.		585	591	6	Scopus			X	?	O	O	O		
Schwabe G.; Göth C.	Mobile learning with a mobile game: Design and motivational effects	2005	Mobile technologies offer the opportunity to embed learning in a natural environment. This paper describes the design of the MobileGame prototype, exploring the opportunities to support learning through an orientation game in a university setting. The paper first introduces the scenario and then describes the general architecture of the prototype. The main part of the paper focuses on the evaluation of design issues and the effects observed in two trials. Design issues include: Supporting work on the move poses difficult interface questions, the accuracy of current outdoor, and indoor positioning systems is still problematic and the game requires near real-time response time. The evaluation of the effects shows that features such as 'map-navigation' and 'hunting and hiding' lead to excitement and fun. The participants immerse into a mixed reality that augments both physical and social space. The game success is based on the motivating design of the game itself. The paper concludes with open issues for future research, especially with the need to thoroughly evaluate the learning benefits. © Blackwell Publishing Ltd 2005.	Computer supported cooperative learning; Computer supported cooperative play; E-learning; Mobile & wireless games; Mobile learning; Positioning systems	204	216	12	Scopus			X	?	O	O	O		
Sotamaa O.	"Have fun working with our product!": Critical perspectives on computer game mod competitions	2005	This paper suggests that the digital games industry products are not limited to games-related hardware and software or the related spin-off industry products. Further, consumers "labour" with games is transformed into a product that is sold to advertisers and sponsors. In case of gamer-made modifications, this commodification of leisure is taken into extreme. It is obvious that the cultivation of unpaid modder labour necessitates different methods than the traditional forms of labour. It is suggested that mod competitions are used as a strategy of control over the hobbyist developers. Through competitions modders become interpellated as important members of the industry and simultaneously end up surprisingly comfortably harnessed. Finally, the paper suggests that the competitions that offer an attractive means to monitor the mod scene, paradoxically also work against industry's advantages by revealing the laborious nature of computer game development to the hobbyists. © 2005 Authors & Digital Games Research Association DiGRA.	Free labour; Game industry; Mod competitions; Modders; Mods; Political economy			10	Scopus			X	?	O	O	O		
Grundy C.; Blake A.	Go with the flow or seize control? Interaction principles that make games enjoyable	2005	A series of design principles relevant to creating graphics for games interfaces were interpreted from the work of leading interaction experts. Students studying for an MSc in Computer Games Graphics were asked to explore how the principles might improve enjoyment of a game. The graduates of the course consider visual themes and their layout; they were asked to develop graphical designs to test ideas and evaluate them within the group. The purpose of the activity was to consider how emotional responses might be improved, during game play, beyond levels of satisfaction usually asociated with usability.	Cognitive Model; Computer Games; Engagement; Experience based design; Flow; Fun; Graphics; Interaction Principles	277	282	5	Scopus			X1	O	O	O	O		
Walz S.P.; Schoch O.; Ochsendorf M.; Spindler T.	Serious Fun Pervasive game design as a CAAD teaching and research method	2005	Today and in the future, architectural students must be prepared for designing both physical and adaptive, computer-integrated spaces. The question is: How do we easily and effectively convey architecturally relevant theories and practices of pervasive computing in teaching? In this paper, we present a didactic model that has proved to be a possible answer. During a semester long design class, we supervised an interdisciplinary group of architecture and computer science students who teamworked on an early so called serious pervasive game prototype, entitled “ETHGame”. The class culminated in a two week compact phase and a presentation before ETH representatives involved in e-learning projects. The resulting interactive prototype takes advantage of our campus’s extensive wireless local area network infrastructure, allowing for user positioning and location based learning, servicing, and peer-to-peer communication. The game mutates the whole of the ETH Zurich campus into a knowledge space, issuing position dependent and position relevant questions to players. The ETHGame forces participants to engage with a given space in the form of a quiz and rewards them for collaborating both face-to-face and facelessly. The game helps them build a collective academic and space aware identity whilst being immersed in a sentient environment. Thus, in this paper we are introducing serious pervasive game design as a novel design research and teaching paradigm for CAAD, as well as a e-learning design strategy. © 2005, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.	knowledge space; location based learning; Pervasive computing; pervasive game design; serious games	279	286	7	Scopus			X1	O	O	O	O	?	X
Clarke D.; Duimering P.R.	How computer gamers experience the game situation: A behavioral study	2006	Very little is known about computer gamers' playing experience. Most social scientific research has treated gaming as an undifferentiated activity associated with various factors outside the gaming context. This article considers computer games as behavior settings worthy of social scientific investigation in their own right and contributes to a better understanding of computer gaming as a complex, context-dependent, goal-directed activity. The results of an exploratory interview-based study of computer gaming within the "first-person shooter" (FPS) game genre are reported. FPS gaming is a fast-paced form of goal-directed activity that takes place in complex, dynamic behavioral environments where players must quickly make sense of changes in their immediate situation and respond with appropriate actions. Gamers' perceptions and evaluations of various aspects of the FPS gaming situation are documented, including positive and negative aspects of game interfaces, map environments, weapons, computer-generated game characters (bots), multiplayer gaming on local area networks (LANs) or the internet, and single player gaming. The results provide insights into the structure of gamers' mental models of the FPS genre by identifying salient categories of their FPS gaming experience. It is proposed that aspects of FPS games most salient to gamers were those perceived to be most behaviorally relevant to goal attainment, and that the evaluation of various situational stimuli depended on the extent to which they were perceived either to support or to hinder goal attainment. Implications for the design of FPS games that players experience as challenging, interesting, and fun are discussed. © 2006 ACM.	Empirical study; Game play experience; Games				Scopus			X1	O	O	O	O	O	O
C. -c. Chao	An Investigation of Learning Style Differences and Attitudes toward Digital Game-based Learning among Mobile Users	2006	Game-based learning in mobile and ubiquitous learning environments has gained great interests in recent years throughout the world and there is every indication that the trend will continue. This paper is a brief report on the findings of a study conducted on student mobile users' learning style, attitudes toward game-based learning in mobile and ubiquitous learning environments and the relationship between learning styles and attitudes towards digital game-based learning in this environment. Characteristics and principles of digital game-based learning, learning style based on experiential learning theory, constructivist learning approach to problem solving, interactions of collaborative learning, engagement of fun-flow experiences and characteristics of mobile-ubiquitous learning environments are synthesized as a framework to investigate research inquiries. This study provided insights for better understanding the design, theory and practice of game-based learning in mobile-ubiquitous environments		29	31	2	IEEE		X	?	?	?	?	X		
