appid,cluster_id,summary_text,summary_n_reviews,source_reviewIds
48110,10,this is one of the most buggy games ive ever played i was on the deck gun under water just get the old ones DON'T BUY THIS GAME. SO MANY BUGS. ITS A MUG UP !!!!!!! a lot of bugs...,3,"34070005,29921547,9212344"
48110,11,"This game isn't working and is not pulling up. All it does when I try to open it is open a video in the top left corner, and after the video ends it just goes black the game never open that little black screen starts glitching I uninstall it reinstall it , change settings on my laptop still nothing ,no matter what I do the game never opens can someone please help and tell me what to do, or I'm get...",3,"54755901,13581354,94750865"
250460,0,"This game doesn't revolutionize anything, it's the standard bridge builder. But it's a nice game! I've seen some other reviews talking about bugged physics but I just finished every level and nothing weird ever happened.

The definitely-made-for-mobile interface can be a turn off for some people, but it does its job very well, it's not a poor port. The fact that using the right mouse click is very...",3,"9813388,10213125,10158070"
250460,1,"A fun game to kill time with.  It also provides lots of laughs with friends and family when played late at night: 

""That's not going to work."" 

""IT'LL WORK! HOLD, BRIDGE! HOLD!"" 

*explosive failure* 

""Told you..."" Get some friends over, get drunk, start trash talking each other's bridges.

A delightful game that is very easy to boot up for 20 minutes, but can easily soak a few hours on occaisi...",3,"13437506,21849536,13631520"
250460,2,I Cant Load it!!!! i am enginear dead,3,"8335658,83789903,39019697"
250460,3,"The playtime value of this game is very high.
Even the gameplay feels really well executed.
And the visuals ain't bad either, it's just nice.
There's been some cool free updates added.
For example: A really great halloween island.
And it just truly increases the playtime a lot.
Overall: I honestly enjoyed this great game.
It is a very relaxing experience to play with.
And I just don't have any neg...",3,"19257872,9707307,172364657"
250460,4,"02/12/2016
The science involved in bridge construction seems exciting in a conversation, but on paper it's a nightmare, which is something I'm certain engineering students swiftly realize three months into their second year of a university stint that their parents had funded through eight grueling years of overtime at Walmart so that their only child, thanks to the barren wasteland that is the mot...",3,"21144697,92294186,12704358"
250460,5,"Avoid if you're looking for a casual game. The ""normal difficulty"" is actually quite hard, like one of those games played by people who get off on spending all day playing soduku.

I've got other stuff to do, and i'm just looking for a casual game to relax on. Therefore this isn't for me. this game was fun for the first little bit but after a while it got very old and repettitive like when i was p...",3,"45300536,29076648,8391021"
250460,6,"[h1]Overview:[/h1]
'[i]Bridge Constructor[/i]' is one of many construction games where the player must build a bridge sturdy enough to carry a variety of vehicles from one side to the other while keeping within budget and without the bridge breaking. You play as a bridge engineer as you build your way through 5 islands all of which are in desperate need of bridges because for some reason roads are...",3,"111798668,40655964,120041706"
250460,7,"🖤💙🖤🖤🖤💙🖤🖤🖤💙🖤🖤🖤❤️🖤
💙💙💙🖤💙💙💙🖤🤍💙🤍🖤🤍🤍🤍
💙💙💙💙💙💙💙🖤💙🤍💙💙❤️❤️❤️
💙💙💙💙💙💙💙🖤🤍💙🤍💙🤍🤍🤍
💙💙💙💙💙💙💙🖤💙💙💙💙❤️❤️❤️
🖤💛💛💛💛💛🖤🖤🖤🤍🤍🤍🤍🤍🖤
🖤💛💛💛💛💛🖤🖤🖤❤️❤️❤️❤️❤️🖤
🖤🖤💛💛💛🖤🖤🖤🖤🖤🤍🤍🤍🖤🖤
🖤🖤💛💛💛🖤🖤🖤🖤🖤❤️❤️❤️🖤🖤
🖤🖤🖤💛🖤🖤🖤🖤🖤🖤🖤🤍🖤🖤🖤
. . . . . .Ukraine . . . . . . . . . . . . . America . . . . . This game sucks. =\ great game",3,"138414159,9309601,145943758"
250460,8,"---{ Graphics }---
☐ You forget what reality is
☐ Beautiful
☐ Good
☐ Decent
☑ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☐ Very good
☐ Good
☑ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☐ Eargasm
☐ Very good
☐ Good
☐ Not too bad
☑ Bad
☐ I'm now deaf

---{ Audience }---
☑ Kids
☐ Teens
☐ Adults
☐ Grandma

---{ PC Requirements }---
☑ Check if yo...",3,"161089838,26278609,45601365"
250460,9,"- builds bridge
- bridge has maximum support possible
- engineered by the best bridge builder
- mom minivan cumslams the bridge
17358/17357 such a good game...",1,173476089
250460,10,"Great fun, Recommended. Fun, makes you think. fun and addictive",3,"13672143,11074223,64567893"
250460,11,"A truck exploded and went into space

10/10 10/10 would impulse buy again. 10/10 will fail again",3,"9814975,20468768,14408740"
312370,0,"Fun to play, moddable, captures the feel of WH40K universe pretty well. Love the range of units, all the way to Titans. Could use a scenario generator to improve replayability.",1,39901045
312370,1,"Basic Overview: Alright, having played this game a few hours, it's fairly easy to sum this game up as the gameplay is fairly standard turn-based stuff. Basically this is very much like many of the classic turn-based military strategy games. You move pieces across a board, they kill each other, and there's a very complicated version of rock, paper, sissors based off of the Warhammer 40k universe. I...",3,"26179441,13102061,70739681"
312370,2,"Dave, it is me. It's alright. Es ist gut!",3,"13191596,83032850,195160389"
312370,3,"What a difference a patch makes!  This game blew at launch.  But since then they have completely redone the battle stat screen (when you mouse over a target).  It now actually displays the number of shots it will take and what the accuracy is and now it's a game instead of smash up.

It's still a wee bit amateur hour (some broken english, some script trigger mistakes) but now it is fun.  Not a cla...",3,"13426514,175770993,13114130"
312370,4,"Its Panzer General (or rather Panzer Corps) but Warhammer 40K. If you know what that means and like both of those things its a no-brainer buy. 40K nerds will especially love the HUGE and I mean HUGE number of units. A dozen different types of Leman Russ tanks huge. Its cool.

A lot of the unit maintenance systems from Panzer Corps like fuel and ammo have been removed which honestly works to the ga...",3,"83679039,66900397,46664150"
312370,5,"I just finished the campaign yesterday.  I was very excited about it when I first saw it.  I would love to say it's a good game, and it has alot of good things (which youtube and steam reviews are posting no small portion of).  I certainly won't say it was a bad game, but without repeating what other people have already said, I have some problems with it because I felt largely disappointed with th...",3,"13300951,48551768,13110237"
312370,6,"I used to really enjoy this game, it was great for when i had down time in class and needed something intertaining to occupy my time, but now it crashes whenever me or the CPU does about anything, if i attack about anything it crashes or if it attacks me i crash, i do not know if this is a personal problem or a problem with the game but it only started happening recently so i can only assume the s...",3,"22716536,30418684,45421017"
312370,7,"Surprisingly good game. I am glad I didn't miss this game, it's a well executed game, and a welcome return to the classic hex turn based games. The fact that I love the Warhammer world certainly helps. I haven't played through the game yet, but I certainly will. But as good as I think this game is it does have some points that need improvement. Save games doesn't follow the storyline. By that I me...",3,"13097401,14976797,37742785"
312370,8,"Completely thought this looked like a lame, old timey style strategy game, but turned out to be an advanced, turn style based game, with many units, and pips each one has and specializations, and many missions and choices. Pretty much the only negative I have about it, is that a unit is able to fireback to every single attack, and having a turn limit till the missions over. Oh, yeah. Finaly. A str...",3,"30474876,24730259,44334633"
312370,9,"Broke open the editor and made a 120x80 map consisting of over 200 units a side, added Tau units and faction, and discovered endless possibilities.  Currently working on a Lord of the Rings set.  Why do you not own this yet? 36,99$ for a game of 5$ quality and ""depth"". Boring, buggy, random, cheap and another kick in the face for Warhammer fans. Avoid Slitherine products at all costs. They are alr...",3,"13858689,50157593,14299032"
312370,10,i like the part that talks about the guy who had not been able to stop the time he ate spaghetti and puked all over his girlfriends moms sisters brother. She the leaves the idiot ranting on about aliens and the fake moon landing in a hollow flat earth !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2,"182696577,169278620"
312370,11,"*** I used a stemkey provided by the developer for review purpose ***

Before jumping into this review I want to make one thing perfectly clear. My review of this game is going to based on what the game actually is and not what I think or feel it should be, unlike so many others on the internet who have been swift in their criticisms mostly for all the wrong reasons. The expectations are naturally...",3,"14715409,14231263,29262839"
415880,0,shit matchmaking,1,39988884
415880,1,"UPDATED!   After 90+ hours of play. Review still holds solid. Excellent Game. I still play every week, mainly in doubles with  friend.  I've updated the review a bit. Shorter, more precise.   


Disc Jam, a mix of badminton, frisbee and  PONG...that's right m***er f****ers.  PONG.

Devs say Tennis but nah I don't believe , in Tennis the ball can hit the ground...not in Disc Jam. Le Disc cannot tou...",3,"34248165,48453356,42294593"
415880,2,"Really fun game and quite addictive once you get the controls down. I wouldn't recommend playing this with keyboard as it can be quite tricking picking and choosing your shots using the keys.

The art style is funky as well as the music and the loot system drops every 3 matches or so. This game is nothing like Rocket League, the only comparison is that it's from a relatively unknown dev team.

Thi...",3,"30506881,42544882,48309532"
415880,3,"This is fun. Like... too much fun. Somehow, however, it's slipped under the radar and has no playerbase. Isn't a problem for me since I have a group of friends to play it with, however, its big problem (at the time of writing) is that you can't earn unlocks playing private games. What we've done to get around that so far is just join matchmaking at the same time and (so far) it puts us with each o...",3,"33242524,33595152,39990595"
415880,4,This shit is hilarious so funny,2,"40019360,33587581"
415880,5,"This is a game that was reported to be easy to learn and hard to master.  It is not.  I have played Rocket League for over 1550 hours at the time of this review; a game that takes precise inputs at precise times.  In comparison, to say that this game's time windows for inputs are small is an understatement.  They're absolutely miniscule.  I literally had to look up an explanation on how to get thr...",3,"48451841,30442725,30409698"
415880,6,"معك واحد يلعبها وتحبون هالنوع من اللالعاب

مسلية وحماسية Won my first match, got told to go fuck myself. 10/10 VERY NICE VERY GOOD",3,"141437344,31239644,70382495"
415880,7,"I reall really like this game. Its a game that feels like rocket league, but is perfect for people that dont like cars haha. Everything is completely obtainable without spending a cent - except for buying the game of course. 

I can really recommend this game and thanks to the free weekend. I never heard of this game before but now I will play it often. 9€ is a fair price for it.

For everyone - C...",3,"39943453,32138857,30477851"
415880,8,"This game is pretty fun. Basically pick up and play granted you actually took time to go through the tutroial. 

Pros:

Easy Learning Curve

Cons:

Depending on time zones....the waiting period is pretty bad. Although I wont knock it as this is an early access game. Still listing as a con though for the time being. 

________________________________________________________________________________
...",3,"30680331,48274942,37078673"
415880,9,"[h1]""Free Weekend"" review:[/h1]

Steam notified me about ""Free Weekend"" 30 minutes before it expires.
Completed the tutorial.
Couldn't play Online, because ""license expired"".
Couldn't even start couch co-op - only X input gamepads are supported. Like X-box AND... X-box... (1 out of entire pile of gamepads).

Good. I completed the tutorial. Time to unistall.

Edit: 
Cons:
- It's very arcadish and g...",3,"33595227,33564155,40011584"
415880,10,This game is so fucking bad its unbelievable. Just a terrible game,2,"48265016,59255715"
415880,11,it's okay It's ok.,2,"33637280,51599401"
435020,0,"Good game , LOVE IT
The difficulty goes from wayyyyy to easy to wayyyyyy to hard. 
Wish they could fix the AI difficulty.
Good game for the die hard fans. apart from some amazing AI choices... this game is solid the pro mode and couch modes are both fun and different feeling without being overly complex. fun and fast-paced representation of our great game, minor bugs and some more severe flaws inc...",3,"54867219,34959535,99708347"
435020,1,"I have played both AFL Evolution 1 and AFL Evolution 2 and I think that even though 2 has updated graphics, different stadiums and updated line-ups/fixtures, I think this game has more content. Sure, graphics may not be as good number 2, but the detail in manager content is really nice.

- Firstly, in Pro Player, the points system is way easier to understand. The higher your skill level is, the mo...",3,"121871974,33723600,33701386"
435020,2,worth it but not at full price not worth the purchase,2,"49864084,34209018"
435020,3,"I Really enjoy this game for what it is, and I love True Blue Games, but I cant believe that there is NO option for vsync. you also cant force it with control panel it doesnt work. my framerate is jumpin anywhere from 55 to 95 to 130 all over the place, with no ryme or reason. its so jarring i can barely play it. Please guys add a vsync option. Without the vsync it looks like theres this extreme g...",3,"42010916,72082975,42109300"
435020,4,hmm fiddy bucks 64/100,2,"39227290,88145778"
435020,5,"Scored four goals in a game with Dardy McCrafty.
10/10 would let myself be let down by unrealistic individual performances by Fremantle players again https://www.youtube.com/watch?v=DjHL4Dm0u4A
https://www.youtube.com/watch?v=pXvfaPPtbpM
https://www.youtube.com/watch?v=jKf-8mgdges this game is terrible you cannot mark the ball if the opposition has kicked it the player will just phase through you ...",3,"41654272,152025582,44477695"
435020,6,"Haven't changed any of the bugs from the ps4 or xbox. When you play the game it still uses the Xbox controls, So to select a captain you have to use RB. To go back you have to press ESC even though it said you have to press B, etc. Don't bother buying untill they have fixed these bugs and also, the keyboard doesnt register 100% of the time. I had to press enter 13 times just for the game to regist...",3,"33690887,33710059,77906667"
435020,7,"Not much help as far as instructions go, a help button would have been good.
Very difficult to begin with but once you get the hang of it, its pretty good.
Price is a bit high for what it is but i understand why it is. They need cash and its only a small market.
All in all, im happy with it ATM. Needs a tutorial.",2,"34685052,33699161"
435020,8,"TL;DR - 100% buy if you like AFL, if you don't like it then refund it.
I bought this game having grown up and loved AFL. While it is not the most perfect game thanks to quite honestly crap game production as it's an Australian game developer, it is still a worthwile buy IF you can get past a few of the issues within it.
1 issue being the responsivness in the menus, it takes a few hits of what butt...",3,"33823675,33740575,33761063"
435020,9,"I cannot recommend this game at this price. Which is a shame because I *really* wanted to give this game every chance. I heard the complaints of the console players (I had friends who traded the disc back in after three days - it was that bad), and waited two and a half months for the PC version to come out (with patches) so I could give it a go.

What I've experienced so far has confirmed the bad...",3,"33825419,33851847,33733405"
435480,0,"I hate it. The mission in which you must carry a bomb with a jetpack and the ""Intensive Military Training"" levels are the worst things that ever happened to me. I wouldn't wish that on my worst enemy.",1,99788403
435480,1,"It's ok but don't take it too seriously, it's got some nice trials tracks and then a few sections similar to (but not as good) Shadow Complex and Flashback.
Graphics are nice if you are really into chromatic aberration.

Whatever you do, don't take it seriously, it's just a bit of fun and I think it's price point reflects that. Main issue is screen tearing with Vsync off and it will lock it to 30 ...",3,"23574157,23785812,23941370"
435480,2,"A brilliant game! A lot of interesting ideas, such as the grappling hook and SMG combat. The Japanese campaign kicks *ss, and it is easily one of my favourite official levels in the whole Trials series. My only problem is that there is very little to do, other than improve times and scores, after story completion. Plus, the game is a little too easy for my liking. I definitely recommend this to an...",3,"72860269,117141476,23600991"
435480,3,"This game is the perfect example of experimentation over refinement. This review comes from a huge fan of Far Cry 3: Blood Dragon, and someone who has dabbled in and played a few of the Trails games in the past. Seeing as I loved FC3BD, and had played some of the Trials franchise, I figured I'd give this one a try. This game was something I had wanted to play for a long time now, but the mixed rev...",3,"84831648,49711927,50482711"
435480,4,#RIPCOD,1,23665196
435480,5,"""Hey, did you watch all of the [i]Far Cry 3: Blood Dragon[/i] cutscenes like we told you to?""
""Yes sir, Ubisoft.""
""Which one looked the most... interesting to you?""
""The sex scene. Why?""
""Funny you say that, because we want you to make an entire [i]Trials[/i] game based on that cutscene.""
""...I'm not sure we follow.""
""Continue the [i]Blood Dragon[/i] storyline where it left off after Rex defeats S...",3,"200299590,131372783,39723808"
435480,6,"Trials of the Blood Dragon has a lot in common with its infamous E3 presentation; a great, bold, different idea on paper that turned out terrible in execution.

I came into this game expecting very polished level design as seen in the previous Trials games. Trials HD and Trials Evolution both had a great difficulty curve, tons of customization, and different bikes for you to choose from. This game...",3,"30786219,50192176,25493143"
435480,7,"PROS:
- A lot of variety in gameplay
- Interesting level designs and changes
- Story has its funny moments
- Great Set Pieces

CONS:
- Short as all hell
- Pretty easy compared to other Trails games
- Voice acting is BAAAAAAD

I was kind of surprised to see this pop up on steam, I honestly thought it was one of those shitty rip-offs that slide in through greenlight. Turns out this is all legit and ...",3,"23670575,24527726,23712201"
435480,8,"8/10
the A E S T H E T I C S is trong with this one,much love <3 [h1] 7.5/10 TJBs [/h1] .",3,"30740611,73426532,138415080"
435480,9,"Ninja cybercommandos, communist insectoid aliens, hotline miami references (there's a whole level pack), vietnam war, 80s entorauge - that's what you get

Controls made by imbecile, so 6\10 Yo dawg... I heard you like spinoffs so I put a spinoff of a spinoff in a spinoff so now you can spin while you're spinning on the floor laughing your ass off. 

SpinCeption out off 10 /10",2,"38475536,40243764"
435480,10,"I want to say out of the gate that a I think it is very unjustified and unfair to give this game negative reviews for not being a Trials Fusion clone, additionally, these complaints are coming from people with less that 30 minutes in game. Trials of the Blood Dragon like Far Cry 3: Blood Dragon was never intended to be a successor or continuation of the parent game. If you were expecting that you ...",3,"23545662,23590138,41579445"
435480,11,"This game can't be finished since the servers are down and times can't be uploaded to the leaderboard anymore. What a joke. servers are offline, one achievement is unobtainable and retarded ass drm makes it so it cant be played on steam deck GG. 26 hours on the record.",3,"164196406,189057423,30114198"
1273440,0,"Well, the game is great, still early access but already has shown that the developers are working on it, and expanding on whats already implemented, loving it so far, just needs car bodykit customization No customization bodykit or more specific but good game for the grapich and handling, open world is the best but no customization bodykit or more specific is worse for drift or racing game Its fun...",3,"121358731,116684885,188514970"
1273440,1,"ill be honest, im not too impressed with this game... i guess i was expecting more.. i assume the game will be updated as time goes on ... maybe i play too much assetto and beam..idk lol its not terrible... i think the game looks pretty good. the drifting is easier than assetto ans esp beam. but it just didnt "" excite "" me. im not like eager to play like how i am with beam and assetto. im not gonn...",3,"152967924,139520744,116342324"
1273440,2,Great game! The drifting is extremely satisfying once you get the hang of it. It gives me a CarX x Forza vibe. I opened the game and within a short time I was doing clean a$$ donuts and cutting corners sideways :P I saw a bunch of cars by the mall so I teleported there. Showed up and cars were running the course in tandem. I said sheeeit.. I won't learn if I don't hop in. So I did and smashed into...,3,"131135361,154319256,148310699"
1273440,3,car goes bap bap vroom vrooooom Waiting for a new update.... EHHHH NOICE,3,"127117080,129919198,136841460"
1273440,4,funn   just dont hit polls fun as hell,2,"162812826,132655626"
1273440,5,"[h1]      ⚖️  MATCHING EXPECTATION:[/h1] 
* 🟢 = Available = Fun +1
* 🔴 = Not Available = Fun -1
* Match Nothing = 0 Fun

🟢 Open world with public players
🟢 Mystery Exploration = No gameplay introduction
🟢 Wall-less circuit drifting 
🟢 Redo same drifting until time is up
🟢 Long hours gameplay = Content unlock slowly
🔴 Versus personal best record as a challenge
🔴 Versus same ranked / ghost opponent ...",3,"173899252,149594092,120353604"
1273440,6,"⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠛⠛⠛⠋⠉⠈⠉⠉⠉⠉⠛⠻⢿⣿⣿⣿⣿⣿
⣿⣿ ⣿⣿⣿⣿⣿⡿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⢿⣿⣿⣿
⣿⣿⣿⣿⡏⣀⠀⠀⠀⠀⠀⠀⠀⣀⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿
⣿⣿⣿⢏⣴⣿⣷⠀⠀⠀⠀⠀⢾⣿⣿⣿⣿⣿⣿⡆⠀⠀⠀⠀⠀⠀⠀⠈⣿⣿
⣿⣿⣟⣾⣿⡟⠁⠀⠀⠀⠀⠀⢀⣾⣿⣿⣿⣿⣿⣷⢢⠀⠀⠀⠀⠀⠀⠀⢸⣿
⣿⣿⣿⣿⣟⠀⡴⠄⠀⠀⠀⠀⠀⠀⠙⠻⣿⣿⣿⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⣿
⣿⣿⣿⠟⠻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠶⢴⣿⣿⣿⣿⣿⣧⠀⠀⠀⠀⠀⠀⣿
⣿⣁⡀⠀⠀⢰⢠⣦⠀⠀⠀⠀⠀⠀⠀⠀⢀⣼⣿⣿⣿⣿⣿⡄⠀⣴⣶⣿⡄⣿
⣿⡋⠀⠀⠀⠎⢸⣿⡆⠀⠀⠀⠀⠀⠀⣴⣿⣿⣿⣿⣿⣿⣿⠗⢘⣿⣟⠛⠿⣼
⣿⣿⠋⢀⡌⢰⣿⡿⢿⡀⠀⠀⠀⠀⠀⠙⠿⣿⣿⣿⣿⣿⡇⠀⢸⣿⣿⣧⢀⣼
⣿⣿⣷⢻⠄⠘⠛⠋⠛⠃⠀⠀⠀⠀⠀⢿⣧⠈⠉⠙⠛⠋⠀⠀⠀⣿⣿⣿⣿⣿
⣿⣿⣧⠀⠈⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠟⠀⠀⠀⠀⢀⢃⠀⠀⢸⣿⣿⣿⣿
⣿⣿⡿⠀⠴⢗⣠⣤⣴⡶⠶⠖⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡸⠀⣿⣿...",3,"116126823,162759199,116089176"
1273440,7,Good game but can be a bit tough at first thx gossiest for showing me this game this game made my friend lose me,3,"151468745,126444709,132790709"
1273440,8,"Absolute crap. That is my simplified overall view of this game. It is most definitely not worth the money they are asking for, especially for the additional DLC. For reference, I use a controller with my driving games. I do not use a steering wheel, so I cannot comment on how it is when using one in this game.

Pros:
- Well, it looks good for the most part. But, looking good can only get you so fa...",3,"133534593,168764921,134563489"
1273440,9,can not pop tires Smooth,2,"186051661,116752903"
1273440,10,amazing Good good,3,"127673979,118180061,118547954"
1273440,11,"Ass on the logitech wheel, For some reason they expect you to know how the controls work and you're supposed to sit there tweaking the wheel controls for 20 minutes tryna find a way to fix it, And even then when i my wheel was straight the car would go to the right, Very weird they gotta polish it a lil more on the wheel and it'd be goated Love it :)
Logitech G920 + H-Shifter works excellent!
You ...",3,"157249051,146985792,116526059"
1555650,0,Unplayable. An absolutely unique game because it doesn't have a mouse sensitivity setting. Devs must be very high iq lmao,1,184150384
1555650,1,"Great immersive sim, with some world-puzzle elements. All of its characters feel like they interact with each other, are aware of each other. There are a lot of neat ways to navigate the world, and potentially some interesting ways to deal with the game's situations.

I will say that some of its features feature slightly less than I would have liked - the consequence system, for example, is pretty...",3,"106563303,101738657,134722621"
1555650,2,"Not too long into my first playthrough of [i]Hexcraft: Harlequin Fair[/i] I found myself venturing into a haunting trainyard, the striking view interrupted by the sharpshooting cowgirl trying to gun down a werewolf, an event I decided not to get involved in. Instead, I carefully made my way into an unlocked hotel room where I found assorted photos of deceased president John Fitzgerald Kennedy plas...",3,"101517012,172483692,131840574"
1555650,3,"I have no idea how to progress, where to obtain a weapon, how to use the alchemy, what the NPC's are talking about, where I am, who I am, or what my goals are. And I had an absolutely f*cking amazing time. I've only played about an hour of this and I barely progressed at all in this LSD fuelled nightmare, and yet I adored it. I will be giving this another go, and it will probably go roughly the sa...",3,"122143911,116169232,168584048"
1555650,4,"[spoiler] I think... I think the Canadians assasinated JFK..? [/spoiler]

good game When JFK said: ""Kill them all, Vivian.""

i felt it the only game that makes any sense",3,"191418185,140553058,202684169"
1555650,5,"Esoteric micro rpg for the girls

The game basically encourages you to murder hobo by being able to kill and rob storekeepers infinitely.
Sometimes you go into a area and there just be a demon or werewolf killing everyone for some reason.
I couldn't figure out how to finish it but its really interesting discovering stuff and trying to figure it out.

Would get gunned down by vampires again In a wo...",3,"189469451,131639025,155198577"
1555650,6,"cool weird game, slightly incomprehensible but clearly has a lot of vision behind it",1,148062484
1555650,7,"A very confusing one to review. I liked playing it a lot. I was fortunate enough to play the demo and it assured me I would. But when I boil things down, a lot of flaws got in the way of me enjoying it much more.

- I was enchanted by the spellbook--you unlock spells throughout the game and can use it to mess with the environment. By the time I unlocked any spells I was far and beyond needing any ...",3,"142294623,135503709,101517193"
1929360,0,Best tumbling-based roguelike out right now. Easy 10/10. Supreme Epic!,2,"168303900,114488004"
1929360,1,"Yeh, I had an alright time, it's kinda basic but whatevs.
Felt like a Roblox game. Not too bad, just some chill idle thing where you bump into cacti and fly around like a comet all day long in the scorching desert, and also beating up some tree rock walking dude over and over (poor guy). Probably should have spent my time playing like an actual full game, but hey, I've seen much worse.


Also, 
DI...",3,"129220186,114107205,125842577"
1929360,2,i fr tumbled and tumbled some more and how many times can you tumble fr fr ha ha ope some more tumbling lofi beats to tumble to tumble,3,"143634115,114400444,162450356"
1929360,3,Ever since I was but a seedling all I wanted was to tumble in the wind. My own roots disowned me and kicked me out when I came out as a diaspore. I think it was destiny. I roamed and drifted through the American southwest with no real cause or care until aliens took me against my will to mars. There I thought I was stuck and doomed to watch aliens stomp over my old town. I did the only thing I kne...,3,"123707594,114080341,113386235"
1929360,4,this is gas new mexico good game,3,"115580075,114382052,117663750"
1929360,5,"I'll be up front and honest here. Had the game been any bit more expensive than it is. This would have been a negative review. Treat this as a grey/neutral review if you like.

There's barely a game here. The only thing that's really fun here is getting to full power and being able to fly or combo with the tumbleweed, and it time gates you for as long as it can from getting to that one juicy bit o...",3,"115564871,113638508,150328776"
1929360,6,yes also yea Yes,3,"132367887,116535045,131629586"
1929360,7,save me from becoming full weed,1,114886658
1929360,8,"My friend thought he'd be funny and buy this and make me play it, joke's on him, I became the tumbleweed master, even now in my mind I am a collection of dried brush and sticks, blowing through the desert without a care in the world, occasionally bumping into a cactus, or scratching someone's legs up as a roll into them, my life is complete, I have ascended into a higher state of being, I am no lo...",3,"117750420,114100401,117605509"
3584190,0,"Greetings Traveler, 

you saw this game and though to yourself ""lemme check those negative reviews and see whats up.."" ?

Let me be your friendly guide!

Now i do have to make the disclaimer that i actually already wrote a review but was kindly asked to put it down since it got too detailed upon unpolished gameplay and other things- understandable, i take no offense to that... actually it is kinda...",3,"191977956,194999796,194312340"
